4.001737e+002;2.612955e-001
4.006559e+002;2.628739e-001
4.011380e+002;2.653372e-001
4.016201e+002;2.683134e-001
4.021023e+002;2.709829e-001
4.025844e+002;2.725302e-001
4.030666e+002;2.726655e-001
4.035487e+002;2.716770e-001
4.040308e+002;2.701743e-001
4.045130e+002;2.686357e-001
4.049951e+002;2.672013e-001
4.054772e+002;2.656924e-001
4.059594e+002;2.638783e-001
4.064415e+002;2.617323e-001
4.069236e+002;2.595771e-001
4.074058e+002;2.579221e-001
4.078879e+002;2.572122e-001
4.083701e+002;2.575594e-001
4.088522e+002;2.586797e-001
4.093344e+002;2.599497e-001
4.098165e+002;2.606858e-001
4.102986e+002;2.604355e-001
4.107808e+002;2.592091e-001
4.112629e+002;2.574000e-001
4.117450e+002;2.555334e-001
4.122272e+002;2.539655e-001
4.127093e+002;2.527735e-001
4.131914e+002;2.517928e-001
4.136736e+002;2.508162e-001
4.141557e+002;2.497645e-001
4.146378e+002;2.487811e-001
4.151200e+002;2.481302e-001
4.156021e+002;2.480382e-001
4.160843e+002;2.485238e-001
4.165664e+002;2.493640e-001
4.170485e+002;2.501574e-001
4.175307e+002;2.505330e-001
4.180128e+002;2.503357e-001
4.184949e+002;2.497421e-001
4.189771e+002;2.491523e-001
4.194592e+002;2.489965e-001
4.199413e+002;2.495191e-001
4.204235e+002;2.506945e-001
4.209056e+002;2.522607e-001
4.213878e+002;2.538665e-001
4.218699e+002;2.552306e-001
4.223521e+002;2.562605e-001
4.228342e+002;2.570306e-001
4.233163e+002;2.576838e-001
4.237985e+002;2.582900e-001
4.242806e+002;2.587954e-001
4.247627e+002;2.590457e-001
4.252449e+002;2.589152e-001
4.257270e+002;2.584086e-001
4.262091e+002;2.577134e-001
4.266913e+002;2.571118e-001
4.271734e+002;2.568560e-001
4.276555e+002;2.570363e-001
4.281377e+002;2.575395e-001
4.286198e+002;2.580912e-001
4.291020e+002;2.583953e-001
4.295841e+002;2.582643e-001
4.300662e+002;2.577132e-001
4.305484e+002;2.569227e-001
4.310305e+002;2.561367e-001
4.315126e+002;2.555324e-001
4.319948e+002;2.551562e-001
4.324769e+002;2.549317e-001
4.329590e+002;2.547455e-001
4.334412e+002;2.545314e-001
4.339233e+002;2.543328e-001
4.344055e+002;2.542734e-001
4.348876e+002;2.544865e-001
4.353698e+002;2.550282e-001
4.358519e+002;2.558350e-001
4.363340e+002;2.567431e-001
4.368162e+002;2.575687e-001
4.372983e+002;2.581939e-001
4.377804e+002;2.586249e-001
4.382626e+002;2.589690e-001
4.387447e+002;2.593646e-001
4.392268e+002;2.598895e-001
4.397090e+002;2.605190e-001
4.401911e+002;2.611345e-001
4.406732e+002;2.615974e-001
4.411554e+002;2.618236e-001
4.416375e+002;2.618375e-001
4.421197e+002;2.617441e-001
4.426018e+002;2.616661e-001
4.430839e+002;2.616589e-001
4.435661e+002;2.616819e-001
4.440482e+002;2.616187e-001
4.445303e+002;2.613600e-001
4.450125e+002;2.608828e-001
4.454946e+002;2.602959e-001
4.459767e+002;2.598007e-001
4.464589e+002;2.596079e-001
4.469410e+002;2.598362e-001
4.474232e+002;2.604586e-001
4.479053e+002;2.613086e-001
4.483875e+002;2.621571e-001
4.488696e+002;2.628085e-001
4.493517e+002;2.631876e-001
4.498339e+002;2.633488e-001
4.503160e+002;2.634290e-001
4.507981e+002;2.635586e-001
4.512803e+002;2.637954e-001
4.517624e+002;2.641022e-001
4.522445e+002;2.643847e-001
4.527267e+002;2.645525e-001
4.532088e+002;2.645818e-001
4.536909e+002;2.645226e-001
4.541731e+002;2.644701e-001
4.546552e+002;2.645046e-001
4.551374e+002;2.646496e-001
4.556195e+002;2.648614e-001
4.561016e+002;2.650662e-001
4.565838e+002;2.652080e-001
4.570659e+002;2.652894e-001
4.575480e+002;2.653714e-001
4.580302e+002;2.655356e-001
4.585123e+002;2.658337e-001
4.589944e+002;2.662533e-001
4.594766e+002;2.667187e-001
4.599587e+002;2.671343e-001
4.604409e+002;2.674314e-001
4.609230e+002;2.676058e-001
4.614052e+002;2.677075e-001
4.618873e+002;2.678041e-001
4.623694e+002;2.679293e-001
4.628516e+002;2.680580e-001
4.633337e+002;2.681154e-001
4.638158e+002;2.680258e-001
4.642980e+002;2.677583e-001
4.647801e+002;2.673631e-001
4.652622e+002;2.669460e-001
4.657444e+002;2.666243e-001
4.662265e+002;2.664692e-001
4.667086e+002;2.664790e-001
4.671908e+002;2.665890e-001
4.676729e+002;2.667220e-001
4.681551e+002;2.668384e-001
4.686372e+002;2.669673e-001
4.691193e+002;2.671886e-001
4.696015e+002;2.675869e-001
4.700836e+002;2.681947e-001
4.705657e+002;2.689674e-001
4.710479e+002;2.697931e-001
4.715300e+002;2.705476e-001
4.720121e+002;2.711496e-001
4.724943e+002;2.716029e-001
4.729764e+002;2.719784e-001
